,1931,1932,1933,1934,1935,1936,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,,1994,1994,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,,2008,,2009,,2010,,2011,,"2,012",,"2,013",,"2,014",,2015,,,"2,016",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specimens,Institutions,Specimens,Institutions,Specimens,Institutions,Specimens,Institutions,Specimens,Institutions,,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,,,Specimens,Inst./Indiv.,Specimens,Inst/Indiv,,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,,Specimens,Inst/Indiv
COLLECTION DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLLECTION DEVELOPMENT,,,,,,,,,,,,,,,,,COLLECTION DEVELOPMENT,,
 Exchanges Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,422,,"1,723",,355,,637,,,601,9,859,8,303,3,"1,105",4,827,4,"1,182",8,850,8,502,9,"1,831",11,613,8,493,6,"1,313",4,"1,016",7,"1,072",8, Exchanges Received,939,9,200,4,415,5,438,2,308,3,"1,578",8,606,6,397,4, Exchanges Received,610,5
 Gifts Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,100,,127,,41,,102,,,829,15,687,14,979,14,"1,201",,"1,054",,281,6,1,1,573,12,566,14,97,9,222,11,"1,833",15,308,9,340,7, Gifts Received,454,15,761,68,868,9,505,5,610,7,497,8,283,5,378,8, Gifts Received,"1,166",11
 Staff Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,893,,,916,,746,,98,,214,,357,,960,6,477,9,344,5,207,5,157,4,476,4,103,3,341,4,226,2, Staff Collections,253,3,,,475,3,235,4,194,1,57,6,250,3,139,3, Staff Collections,105,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIMEN TOTAL,0,"2,147","5,684","10,599","15,000","19,857","23,608","31,852","37,937","46,128","50,968","55,968","61,890","64,488","67,085","74,726","78,040","79,704","80,951","84,354","86,291","89,812","93,677","95,657","96,807","97,367","98,226","99,201","100,044","102,544","104,401","106,190","108,235","110,795","113,980","117,030","120,135","125,325","128,355","130,086","133,718","136,910","139,396","143,335","146,336","151,337","156,533","163,465","166,111","172,757","176,071","182,220","186,565","191,653","196,719","200,025","203,949","206,134",,"206,993",,"208,540",,"209,418",,"211,001",,,"213,500",,"218,030",,"219,515",,"221,977",,"225,301",,"227,347",,"230,097",,"232,757",,"234,687",,"236,679",,"239,454",,"244,235",,"246,405",,"248,154",,SPECIMEN TOTAL,"250,002",,"251,518",,"253,407",,"256,764",,"260,227",,"267,194",,"274,169",,"275,475",,SPECIMEN TOTAL,"277,746",
 Specimen Increase,,"2,147","3,537","4,915","4,401","4,857","3,751","8,244","6,085","8,191","4,840","5,000","5,922","2,598","2,597","7,641","3,314","1,664","1,247","3,403","1,937","3,521","3,865","1,980","1,150",560,859,975,843,"2,500","1,857","1,789","2,045","2,560","3,185","3,050","3,105","5,190","3,030","1,731","3,632","3,192","2,486","3,939","3,001","5,001","5,196","6,932","2,646","6,646","3,314","6,149","4,345","5,088","5,066","3,306","3,924","2,185",,859,,"1,547",,878,,"1,583",,,"2,499","2,715","4,530",,"1,485",,"2,462",,"3,324",,"2,046",,"2,750",,"2,660",,"1,930",,"1,992",,"2,775",,"4,781",,"2,170",,"1,749",, Specimen Increase,"1,848",,"1,516",,"1,889",,"3,357",,"3,463",,"6,967",,"6,975",,"1,306",, Specimen Increase,"2,271",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER SPECIMEN ACTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER SPECIMEN ACTIVITY,,,,,,,,,,,,,,,,,OTHER SPECIMEN ACTIVITY,,
 Exchange Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853,868,"1,395","3,351","2,459","1,606",,149,"2,624",819,"3,242","2,345",609,366,400,,641,8,92,4,"1,114",21,625,19,,"1,276",14,"1,686",19,0,0,"1,456",15,854,17,"1,419",19,0,0,"2,230",29,34,1,585,34,0,0,1,1,539,34,12,1, Exchange Sent,5,1,2,1,103,2,25,5,50,2,488,17,150,3,53,3, Exchange Sent,150,2
 Loans Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,800,5,266,8,"1,078",16,708,14,,"1,133",14,"1,296",16,99,3,"1,342",13,491,15,435,12,725,8,233,17,"1,175",12,3,3,940,20,768,12,660,12,650,9, Loans Sent,538,14,620,8,"1,323",13,"1,330",17,470,12,570,13,321,6,162,6, Loans Sent,204,4
 Loans Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,062",,"6,558",22,294,5,62,4,"1,037",16,,"2,071",25,237,8,144,5,"1,150",13,517,6,88,6,468,12,257,14,13,5,284,9,"2,456",21,"4,180",31,"1,022",32,686,18, Loans Received,"1,551",22,342,12,836,12,151,5,1,1,950,11,0,0,0,0, Loans Received,0,0
 Loans Returned to UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,"2,660",4,689,7,736,8,"1,235",20,,795,26,"1,400",14,205,1,282,4,413,8,572,7,249,4,629,8,311,10,648,5,876,13,"1,203",16,289,8,799,8, Loans Returned to UTC,653,7,"1,079",8,788,19,"1,015",4,168,8,83,3,53,3,356,9, Loans Returned to UTC,378,5
 Loans Returned by UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,,287,30,575,10,679,16,"1,138",16,,"1,266",13,"1,194",15,3,1,875,6,266,11,"2,410",15,56,4,3,2,583,17,38,6,176,11,663,9,41,5,"7,781",63, Loans Returned by UTC,196,12,214,7,53,9,204,12,261,7,1,1,11,2,36,3, Loans Returned by UTC,152,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loans Transferred by UTC,501,9
 Local Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,62,4,,79,8,214,18,12,1,0,0,13,2,9,1,0,0,22,2,19,1,239,2,143,3,180,6,225,7,182,8, Local Loans,121,4,70,4,9,3,21,6,18,1,23,3,17,1,37,3, Local Loans,18,3
 Photographic Slides Loaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,35,,,36,,241,,176,,98,,98,15,108,11,105,7,617,7,236,4,221,3,45,3,70,4,,2,33,1, Photographic Slides Loaned,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0, Photographic Slides Loaned,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICE,,,,,,,,,,,,,,,,,SERVICE,,
Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,,,Time,Requests,Time,Requests,Utah State University,,,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Utah State University,Time,Requests
